EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.00095796585083,0,1,INITIAL_BUFFERING,Writing,45226
0.00706386566162,0,1,PLAY,InitialBuffering-Play,0
0.00915288925171,0,0,PLAY,StillPlaying,45226
0.78490281105,0,1,PLAY,Writing,88783.0
2.40588998795,2,2,PLAY,Writing,128503.0
4.01076698303,4,1,PLAY,StillPlaying,88783.0
5.48721694946,5,2,PLAY,Writing,177437.0
7.82372999191,7,3,PLAY,Writing,217761.0
8.01064586639,8,2,PLAY,StillPlaying,128503.0
10.7529308796,10,3,PLAY,Writing,255865.0
12.0107479095,12,2,PLAY,StillPlaying,177437.0
13.2585349083,13,3,PLAY,Writing,323047.0
16.0107979774,16,2,PLAY,StillPlaying,217761.0
16.2134959698,16,3,PLAY,Writing,255865.0
19.9661648273,19,4,PLAY,Writing,323047.0
20.0106608868,20,3,PLAY,StillPlaying,255865.0
23.0024399757,22,4,PLAY,Writing,255865.0
24.0107820034,24,3,PLAY,StillPlaying,323047.0
27.7449560165,27,4,PLAY,Writing,323047.0
28.0107028484,28,3,PLAY,StillPlaying,255865.0
32.0113019943,32,2,PLAY,StillPlaying,323047.0
33.1414217949,33,3,PLAY,Writing,255865.0
36.0115299225,36,2,PLAY,StillPlaying,255865.0
37.6621439457,37,3,PLAY,Writing,323047.0
40.0108230114,40,2,PLAY,StillPlaying,323047.0
40.5826778412,40,3,PLAY,Writing,255865.0
44.011330843,44,2,PLAY,StillPlaying,255865.0
44.8580908775,44,3,PLAY,Writing,323047.0
46.6604039669,46,4,PLAY,Writing,255865.0
48.0107898712,48,3,PLAY,StillPlaying,323047.0
49.7528159618,49,4,PLAY,Writing,323047.0
52.0112810135,52,3,PLAY,StillPlaying,255865.0
52.732254982,52,4,PLAY,Writing,255865.0
56.0113270283,56,3,PLAY,StillPlaying,323047.0
59.1553468704,59,4,PLAY,Writing,323047.0
60.0107009411,60,3,PLAY,StillPlaying,255865.0
62.3585019112,62,4,PLAY,Writing,217761.0
64.0108249187,64,3,PLAY,StillPlaying,323047.0
66.3536119461,66,4,PLAY,Writing,255865.0
68.0107419491,68,3,PLAY,StillPlaying,255865.0
68.3079168797,68,4,PLAY,Writing,177437.0
69.5727849007,69,5,PLAY,Writing,217761.0
70.7014348507,70,6,PLAY,Writing,255865.0
71.6601238251,71,7,PLAY,Writing,323047.0
72.0111238956,72,6,PLAY,StillPlaying,323047.0
72.8040809631,72,7,PLAY,Writing,378355.0
75.2497959137,75,8,PLAY,Writing,509091.0
76.0261068344,76,7,PLAY,StillPlaying,217761.0
78.1535208225,78,8,PLAY,Writing,577751.0
80.0114428997,80,7,PLAY,StillPlaying,255865.0
82.4093339443,82,8,PLAY,Writing,782553.0
84.0108048916,84,7,PLAY,StillPlaying,177437.0
85.2030799389,85,8,PLAY,Writing,577751.0
88.0113070011,88,7,PLAY,StillPlaying,217761.0
89.9067628384,89,8,PLAY,Writing,782553.0
92.0111780167,92,7,PLAY,StillPlaying,255865.0
95.338752985,95,8,PLAY,Writing,577751.0
96.0106959343,96,7,PLAY,StillPlaying,323047.0
99.0113208294,99,8,PLAY,Writing,509091.0
100.010713816,100,7,PLAY,StillPlaying,378355.0
104.010840893,104,6,PLAY,StillPlaying,509091.0
104.034960032,104,7,PLAY,Writing,577751.0
107.06297183,107,8,PLAY,Writing,378355.0
108.010774851,108,7,PLAY,StillPlaying,577751.0
110.361097813,110,8,PLAY,Writing,509091.0
112.010720015,112,7,PLAY,StillPlaying,782553.0
112.910127878,112,8,PLAY,Writing,378355.0
115.52994585,115,9,PLAY,Writing,509091.0
116.011123896,116,8,PLAY,StillPlaying,577751.0
118.603487015,118,9,PLAY,Writing,577751.0
120.011046886,120,8,PLAY,StillPlaying,782553.0
122.269150972,122,9,PLAY,Writing,782553.0
124.010898829,124,8,PLAY,StillPlaying,577751.0
124.368270874,124,9,PLAY,Writing,577751.0
128.010916948,128,8,PLAY,StillPlaying,509091.0
130.842710972,130,9,PLAY,Writing,782553.0
132.011085987,132,8,PLAY,StillPlaying,577751.0
135.457887888,135,9,PLAY,Writing,577751.0
136.010721922,136,8,PLAY,StillPlaying,378355.0
138.058676958,138,9,PLAY,Writing,509091.0
140.011269808,140,8,PLAY,StillPlaying,509091.0
140.329700947,140,9,PLAY,Writing,577751.0
142.44886899,142,10,PLAY,Writing,378355.0
144.010802984,144,9,PLAY,StillPlaying,378355.0
145.162822008,145,10,PLAY,Writing,509091.0
148.010833979,148,9,PLAY,StillPlaying,509091.0
148.949688911,148,10,PLAY,Writing,577751.0
152.010831833,152,9,PLAY,StillPlaying,577751.0
153.304617882,153,10,PLAY,Writing,782553.0
156.011281013,156,9,PLAY,StillPlaying,782553.0
157.803658962,157,10,PLAY,Writing,577751.0
159.829144955,159,11,PLAY,Writing,509091.0
160.011133909,160,10,PLAY,StillPlaying,577751.0
164.010756969,164,9,PLAY,StillPlaying,782553.0
166.17118597,166,10,PLAY,Writing,577751.0
168.011010885,168,9,PLAY,StillPlaying,577751.0
168.559561014,168,10,PLAY,Writing,509091.0
172.010787964,172,9,PLAY,StillPlaying,509091.0
172.17115283,172,10,PLAY,Writing,577751.0
176.010846853,176,9,PLAY,StillPlaying,577751.0
176.164738894,176,10,PLAY,Writing,782553.0
178.765635967,178,11,PLAY,Writing,577751.0
180.010737896,180,10,PLAY,StillPlaying,378355.0
184.011260986,184,9,PLAY,StillPlaying,509091.0
186.774320841,186,10,PLAY,Writing,782553.0
188.010665894,188,9,PLAY,StillPlaying,577751.0
191.611787796,191,10,PLAY,Writing,577751.0
192.010663986,192,9,PLAY,StillPlaying,782553.0
196.011308908,196,8,PLAY,StillPlaying,577751.0
196.160142899,196,9,PLAY,Writing,509091.0
200.010819912,200,8,PLAY,StillPlaying,509091.0
200.494550943,200,9,PLAY,Writing,577751.0
202.11242485,202,10,PLAY,Writing,378355.0
204.011181831,204,9,PLAY,StillPlaying,577751.0
206.106910944,206,10,PLAY,Writing,509091.0
208.013396978,208,9,PLAY,StillPlaying,509091.0
212.01083684,212,8,PLAY,StillPlaying,577751.0
216.010792971,216,7,PLAY,StillPlaying,782553.0
218.657862902,218,8,PLAY,Writing,378355.0
220.011222839,220,7,PLAY,StillPlaying,577751.0
224.010828972,224,6,PLAY,StillPlaying,782553.0
226.126557827,226,7,PLAY,Writing,255865.0
228.010818005,228,6,PLAY,StillPlaying,577751.0
232.011380911,232,5,PLAY,StillPlaying,509091.0
233.540195942,233,6,PLAY,Writing,217761.0
236.010813951,236,5,PLAY,StillPlaying,577751.0
236.831130028,236,6,PLAY,Writing,177437.0
239.944082022,239,7,PLAY,Writing,128503.0
240.01066494,240,6,PLAY,StillPlaying,378355.0
241.904187918,241,7,PLAY,Writing,88783.0
243.866204023,243,8,PLAY,Writing,128503.0
244.011044025,244,7,PLAY,StillPlaying,509091.0
247.574214935,247,8,PLAY,Writing,177437.0
248.010690928,248,7,PLAY,StillPlaying,378355.0
252.011304855,252,6,PLAY,StillPlaying,255865.0
252.173979998,252,7,PLAY,Writing,128503.0
256.010839939,256,6,PLAY,StillPlaying,217761.0
256.172160864,256,7,PLAY,Writing,177437.0
259.7978549,259,8,PLAY,Writing,128503.0
260.010663033,260,7,PLAY,StillPlaying,177437.0
264.010805845,264,6,PLAY,StillPlaying,128503.0
265.421599865,265,7,PLAY,Writing,177437.0
267.931492805,267,8,PLAY,Writing,88783.0
268.01076293,268,7,PLAY,StillPlaying,88783.0
272.010821819,272,6,PLAY,StillPlaying,128503.0
