EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000884056091309,0,1,INITIAL_BUFFERING,Writing,45226
0.00746989250183,0,1,PLAY,InitialBuffering-Play,0
0.00952100753784,0,0,PLAY,StillPlaying,45226
0.513731956482,0,1,PLAY,Writing,45226
1.13411283493,1,2,PLAY,Writing,45226
1.61979699135,1,3,PLAY,Writing,45226
2.36028885841,2,4,PLAY,Writing,88783
3.27559900284,3,5,PLAY,Writing,128503
4.01251006126,4,4,PLAY,StillPlaying,45226
4.14432382584,4,5,PLAY,Writing,177437
5.91534996033,5,6,PLAY,Writing,177437
7.16163682938,7,7,PLAY,Writing,217761
8.01258301735,8,6,PLAY,StillPlaying,45226
8.33803606033,8,7,PLAY,Writing,323047
9.72587704659,9,8,PLAY,Writing,378355
11.61972785,11,9,PLAY,Writing,577751
12.0129220486,12,8,PLAY,StillPlaying,45226
16.013119936,16,7,PLAY,StillPlaying,88783
16.9898219109,16,8,PLAY,Writing,1473801
20.0126228333,20,7,PLAY,StillPlaying,128503
21.385117054,21,8,PLAY,Writing,1473801
23.1407618523,23,9,PLAY,Writing,1008699
24.0130639076,24,8,PLAY,StillPlaying,177437
24.7727708817,24,9,PLAY,Writing,1473801
28.0130970478,28,8,PLAY,StillPlaying,177437
29.4617609978,29,9,PLAY,Writing,1473801
32.0126469135,32,8,PLAY,StillPlaying,217761
33.4144039154,33,9,PLAY,Writing,1008699
36.01283288,36,8,PLAY,StillPlaying,323047
36.3065700531,36,9,PLAY,Writing,1207152
40.0126149654,40,8,PLAY,StillPlaying,378355
44.0125899315,44,7,PLAY,StillPlaying,577751
48.0126159191,48,6,PLAY,StillPlaying,1473801
51.4015679359,51,7,PLAY,Writing,3936261
52.012488842,52,6,PLAY,StillPlaying,1473801
55.8710608482,55,7,PLAY,Writing,1207152
56.0127928257,56,6,PLAY,StillPlaying,1008699
59.4438669682,59,7,PLAY,Writing,1473801
60.0125279427,60,6,PLAY,StillPlaying,1473801
61.2608778477,61,7,PLAY,Writing,1473801
62.7979228497,62,8,PLAY,Writing,1008699
63.9616580009,63,9,PLAY,Writing,1473801
64.012447834,64,8,PLAY,StillPlaying,1473801
65.5680799484,65,9,PLAY,Writing,1473801
67.9517350197,67,10,PLAY,Writing,1473801
68.0128648281,68,9,PLAY,StillPlaying,1008699
72.012624979,72,8,PLAY,StillPlaying,1207152
72.7533099651,72,9,PLAY,Writing,1473801
75.4252140522,75,10,PLAY,Writing,1207152
76.0125570297,76,9,PLAY,StillPlaying,3936261
79.2327840328,79,10,PLAY,Writing,1473801
80.0129008293,80,9,PLAY,StillPlaying,1207152
83.6412918568,83,10,PLAY,Writing,1473801
84.0124950409,84,9,PLAY,StillPlaying,1473801
86.8185448647,86,10,PLAY,Writing,1207152
88.0125570297,88,9,PLAY,StillPlaying,1473801
89.2580809593,89,10,PLAY,Writing,1207152
91.7473978996,91,11,PLAY,Writing,1207152
92.0124540329,92,10,PLAY,StillPlaying,1008699
96.0126039982,96,9,PLAY,StillPlaying,1473801
97.4585289955,97,10,PLAY,Writing,1473801
100.013289928,100,9,PLAY,StillPlaying,1473801
102.713898897,102,10,PLAY,Writing,1473801
104.012480974,104,9,PLAY,StillPlaying,1473801
108.013089895,108,8,PLAY,StillPlaying,1473801
108.513228893,108,9,PLAY,Writing,1473801
111.857431889,111,10,PLAY,Writing,1473801
112.012452841,112,9,PLAY,StillPlaying,1207152
115.497766018,115,10,PLAY,Writing,1473801
116.013041019,116,9,PLAY,StillPlaying,1473801
119.445114851,119,10,PLAY,Writing,1473801
120.013010025,120,9,PLAY,StillPlaying,1473801
121.847404957,121,10,PLAY,Writing,1473801
124.012590885,124,9,PLAY,StillPlaying,1207152
126.02312398,126,10,PLAY,Writing,1473801
128.012573004,128,9,PLAY,StillPlaying,1207152
129.056483984,129,10,PLAY,Writing,1473801
131.498091936,131,11,PLAY,Writing,1207152
132.012485981,132,10,PLAY,StillPlaying,1207152
133.829560995,133,11,PLAY,Writing,1207152
136.012616873,136,10,PLAY,StillPlaying,1473801
140.012632847,140,9,PLAY,StillPlaying,1473801
141.049499989,141,10,PLAY,Writing,2409742
144.012610912,144,9,PLAY,StillPlaying,1473801
145.154784918,145,10,PLAY,Writing,1207152
148.012614965,148,9,PLAY,StillPlaying,1473801
151.685897827,151,10,PLAY,Writing,1473801
152.012970924,152,9,PLAY,StillPlaying,1473801
155.500061035,155,10,PLAY,Writing,1473801
156.012521029,156,9,PLAY,StillPlaying,1473801
160.012629032,160,8,PLAY,StillPlaying,1473801
164.013102055,164,7,PLAY,StillPlaying,1473801
167.994340897,167,8,PLAY,Writing,1473801
168.012372971,168,7,PLAY,StillPlaying,1473801
172.012622833,172,6,PLAY,StillPlaying,1207152
173.468904018,173,7,PLAY,Writing,782553
176.012603998,176,6,PLAY,StillPlaying,1207152
176.26979804,176,7,PLAY,Writing,577751
179.01413703,179,8,PLAY,Writing,509091
180.012465954,180,7,PLAY,StillPlaying,2409742
183.305356026,183,8,PLAY,Writing,782553
184.012486935,184,7,PLAY,StillPlaying,1207152
186.445811033,186,8,PLAY,Writing,577751
188.01305604,188,7,PLAY,StillPlaying,1473801
189.387650967,189,8,PLAY,Writing,577751
191.393368006,191,9,PLAY,Writing,577751
192.012953043,192,8,PLAY,StillPlaying,1473801
194.409677982,194,9,PLAY,Writing,577751
196.012872934,196,8,PLAY,StillPlaying,1473801
197.845427036,197,9,PLAY,Writing,577751
200.012522936,200,8,PLAY,StillPlaying,782553
200.790127039,200,9,PLAY,Writing,577751
204.012598038,204,8,PLAY,StillPlaying,577751
204.721863031,204,9,PLAY,Writing,577751
208.012591839,208,8,PLAY,StillPlaying,509091
209.815222025,209,9,PLAY,Writing,577751
212.012645006,212,8,PLAY,StillPlaying,782553
215.775112867,215,9,PLAY,Writing,577751
216.012452841,216,8,PLAY,StillPlaying,577751
220.012619972,220,7,PLAY,StillPlaying,577751
223.584969044,223,8,PLAY,Writing,577751
224.012451887,224,7,PLAY,StillPlaying,577751
226.978839874,226,8,PLAY,Writing,378355
228.013059855,228,7,PLAY,StillPlaying,577751
229.354012012,229,8,PLAY,Writing,323047
232.015230894,232,7,PLAY,StillPlaying,577751
232.956820011,232,8,PLAY,Writing,255865
235.23080492,235,9,PLAY,Writing,255865
235.921306849,235,10,PLAY,Writing,378355
236.01244688,236,9,PLAY,StillPlaying,577751
236.923795938,236,10,PLAY,Writing,509091
238.30892396,238,11,PLAY,Writing,782553
240.012775898,240,10,PLAY,StillPlaying,577751
240.15537405,240,11,PLAY,Writing,1008699
242.551063061,242,12,PLAY,Writing,1473801
244.012574911,244,11,PLAY,StillPlaying,577751
248.013787031,248,10,PLAY,StillPlaying,577751
252.013134003,252,9,PLAY,StillPlaying,577751
254.55643487,254,10,PLAY,Writing,3936261
256.013214827,256,9,PLAY,StillPlaying,378355
258.76303196,258,10,PLAY,Writing,1473801
260.012574911,260,9,PLAY,StillPlaying,323047
260.644948006,260,10,PLAY,Writing,1473801
261.832720995,261,11,PLAY,Writing,1207152
264.012619972,264,10,PLAY,StillPlaying,255865
264.725121975,264,11,PLAY,Writing,2409742
267.453454018,267,12,PLAY,Writing,2409742
268.013078928,268,11,PLAY,StillPlaying,255865
272.012681007,272,10,PLAY,StillPlaying,378355
276.012569904,276,9,PLAY,StillPlaying,509091
280.013077021,280,8,PLAY,StillPlaying,782553
281.420250893,281,9,PLAY,Writing,3936261
284.013061047,284,8,PLAY,StillPlaying,1008699
