EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000882148742676,0,1,INITIAL_BUFFERING,Writing,45226
0.00685501098633,0,1,PLAY,InitialBuffering-Play,0
0.00883316993713,0,0,PLAY,StillPlaying,45226
0.584111213684,0,1,PLAY,Writing,88783.0
1.52072310448,1,2,PLAY,Writing,128503.0
2.71936106682,2,3,PLAY,Writing,177437.0
3.87954616547,3,4,PLAY,Writing,217761.0
4.01083612442,4,3,PLAY,StillPlaying,88783.0
4.92340803146,4,4,PLAY,Writing,255865.0
5.94556903839,5,5,PLAY,Writing,323047.0
8.01051306725,8,4,PLAY,StillPlaying,128503.0
8.11725711823,8,5,PLAY,Writing,378355.0
11.3787209988,11,6,PLAY,Writing,509091.0
12.0104222298,12,5,PLAY,StillPlaying,177437.0
14.8300311565,14,6,PLAY,Writing,577751.0
16.0104701519,16,5,PLAY,StillPlaying,217761.0
18.7464301586,18,6,PLAY,Writing,782553.0
20.0112760067,20,5,PLAY,StillPlaying,255865.0
22.165115118,22,6,PLAY,Writing,577751.0
24.0108580589,24,5,PLAY,StillPlaying,323047.0
26.3156590462,26,6,PLAY,Writing,782553.0
28.0109260082,28,5,PLAY,StillPlaying,378355.0
29.5454001427,29,6,PLAY,Writing,577751.0
32.0109841824,32,5,PLAY,StillPlaying,509091.0
33.8933820724,33,6,PLAY,Writing,782553.0
35.6664230824,35,7,PLAY,Writing,577751.0
36.010376215,36,6,PLAY,StillPlaying,577751.0
39.1796040535,39,7,PLAY,Writing,782553.0
40.0107240677,40,6,PLAY,StillPlaying,782553.0
42.1694991589,42,7,PLAY,Writing,577751.0
44.0104851723,44,6,PLAY,StillPlaying,577751.0
45.6018180847,45,7,PLAY,Writing,782553.0
48.0108990669,48,6,PLAY,StillPlaying,782553.0
48.4873020649,48,7,PLAY,Writing,577751.0
52.0105371475,52,6,PLAY,StillPlaying,577751.0
53.1366090775,53,7,PLAY,Writing,782553.0
56.0109930038,56,6,PLAY,StillPlaying,782553.0
56.6128571033,56,7,PLAY,Writing,577751.0
60.0105311871,60,6,PLAY,StillPlaying,577751.0
60.2843360901,60,7,PLAY,Writing,782553.0
63.7219791412,63,8,PLAY,Writing,577751.0
64.0103440285,64,7,PLAY,StillPlaying,782553.0
67.1835300922,67,8,PLAY,Writing,782553.0
68.0104022026,68,7,PLAY,StillPlaying,577751.0
70.1957352161,70,8,PLAY,Writing,577751.0
72.0109732151,72,7,PLAY,StillPlaying,782553.0
73.6077661514,73,8,PLAY,Writing,509091.0
75.8869352341,75,9,PLAY,Writing,378355.0
76.0103421211,76,8,PLAY,StillPlaying,577751.0
78.8562421799,78,9,PLAY,Writing,509091.0
80.0108640194,80,8,PLAY,StillPlaying,782553.0
80.9734041691,80,9,PLAY,Writing,378355.0
83.4587330818,83,10,PLAY,Writing,509091.0
84.0103731155,84,9,PLAY,StillPlaying,577751.0
86.5425751209,86,10,PLAY,Writing,577751.0
88.0109460354,88,9,PLAY,StillPlaying,782553.0
90.7268621922,90,10,PLAY,Writing,782553.0
92.0104951859,92,9,PLAY,StillPlaying,577751.0
93.7341120243,93,10,PLAY,Writing,577751.0
96.0105211735,96,9,PLAY,StillPlaying,782553.0
97.7060050964,97,10,PLAY,Writing,782553.0
100.010479212,100,9,PLAY,StillPlaying,577751.0
101.171554089,101,10,PLAY,Writing,577751.0
104.010889053,104,9,PLAY,StillPlaying,509091.0
105.561500072,105,10,PLAY,Writing,782553.0
108.010484219,108,9,PLAY,StillPlaying,378355.0
108.030230045,108,10,PLAY,Writing,577751.0
111.506690025,111,11,PLAY,Writing,782553.0
112.010322094,112,10,PLAY,StillPlaying,509091.0
116.010484219,116,9,PLAY,StillPlaying,378355.0
118.821181059,118,10,PLAY,Writing,577751.0
120.010472059,120,9,PLAY,StillPlaying,509091.0
122.578978062,122,10,PLAY,Writing,782553.0
124.010471106,124,9,PLAY,StillPlaying,577751.0
125.524359226,125,10,PLAY,Writing,577751.0
128.01049304,128,9,PLAY,StillPlaying,782553.0
129.459971189,129,10,PLAY,Writing,782553.0
131.957867146,131,11,PLAY,Writing,577751.0
132.010351181,132,10,PLAY,StillPlaying,577751.0
136.010472059,136,9,PLAY,StillPlaying,782553.0
140.010556221,140,8,PLAY,StillPlaying,577751.0
140.016965151,140,9,PLAY,Writing,782553.0
144.010994196,144,8,PLAY,StillPlaying,782553.0
144.413502216,144,9,PLAY,Writing,577751.0
148.010537148,148,8,PLAY,StillPlaying,577751.0
148.692006111,148,9,PLAY,Writing,782553.0
152.01120615,152,8,PLAY,StillPlaying,782553.0
152.279639006,152,9,PLAY,Writing,577751.0
155.687662125,155,10,PLAY,Writing,782553.0
156.010323048,156,9,PLAY,StillPlaying,577751.0
158.781932116,158,10,PLAY,Writing,577751.0
160.010506153,160,9,PLAY,StillPlaying,782553.0
161.577572107,161,10,PLAY,Writing,782553.0
164.010144234,164,11,PLAY,Writing,577751.0
164.015063047,164,10,PLAY,StillPlaying,577751.0
168.010607004,168,9,PLAY,StillPlaying,782553.0
171.632860184,171,10,PLAY,Writing,782553.0
172.010360003,172,9,PLAY,StillPlaying,577751.0
174.845434189,174,10,PLAY,Writing,577751.0
176.010854006,176,9,PLAY,StillPlaying,782553.0
179.215490103,179,10,PLAY,Writing,782553.0
180.010447025,180,9,PLAY,StillPlaying,577751.0
181.887907028,181,10,PLAY,Writing,577751.0
184.01051116,184,9,PLAY,StillPlaying,782553.0
184.32793808,184,10,PLAY,Writing,782553.0
186.522460222,186,11,PLAY,Writing,577751.0
188.010554075,188,10,PLAY,StillPlaying,577751.0
192.010982037,192,9,PLAY,StillPlaying,782553.0
193.937318087,193,10,PLAY,Writing,782553.0
196.010506153,196,9,PLAY,StillPlaying,577751.0
196.639371157,196,10,PLAY,Writing,577751.0
200.011036158,200,9,PLAY,StillPlaying,782553.0
200.400415182,200,10,PLAY,Writing,782553.0
203.647657156,203,11,PLAY,Writing,577751.0
204.010361195,204,10,PLAY,StillPlaying,577751.0
208.010512114,208,9,PLAY,StillPlaying,782553.0
210.902458191,210,10,PLAY,Writing,782553.0
212.010390043,212,9,PLAY,StillPlaying,577751.0
213.514298201,213,10,PLAY,Writing,577751.0
216.010523081,216,9,PLAY,StillPlaying,782553.0
217.167454004,217,10,PLAY,Writing,782553.0
219.305935144,219,11,PLAY,Writing,577751.0
220.010510206,220,10,PLAY,StillPlaying,577751.0
224.010480165,224,9,PLAY,StillPlaying,782553.0
226.205337048,226,10,PLAY,Writing,782553.0
228.01089716,228,9,PLAY,StillPlaying,577751.0
230.424414158,230,10,PLAY,Writing,1008699.0
232.010426044,232,9,PLAY,StillPlaying,782553.0
232.675008059,232,10,PLAY,Writing,782553.0
236.010552168,236,9,PLAY,StillPlaying,577751.0
236.101498127,236,10,PLAY,Writing,1008699.0
238.753582001,238,11,PLAY,Writing,782553.0
240.01060915,240,10,PLAY,StillPlaying,782553.0
244.010527134,244,9,PLAY,StillPlaying,577751.0
248.010536194,248,8,PLAY,StillPlaying,782553.0
252.010524035,252,7,PLAY,StillPlaying,577751.0
255.610372066,255,8,PLAY,Writing,1008699.0
256.01058507,256,7,PLAY,StillPlaying,782553.0
260.011005163,260,6,PLAY,StillPlaying,577751.0
263.379541159,263,7,PLAY,Writing,577751.0
264.010471106,264,6,PLAY,StillPlaying,782553.0
266.832389116,266,7,PLAY,Writing,509091.0
268.010415077,268,6,PLAY,StillPlaying,1008699.0
272.011026144,272,5,PLAY,StillPlaying,782553.0
